gene_id	gene_length
292	1065
364	476
496	1852
597	1438
670	1251
710	1027
794	984
918	1492
1310	1415
1653	1289
1803	1466
1953	494
2398	465
3196	2153
3417	2003
3620	549
3669	1789
4628	1080
4682	897
5181	729
5183	1956
5207	1058
5543	1363
6181	1331
6459	967
6608	1308
6739	1251
6904	673
7082	751
7421	1564
8120	405
8984	586
9549	1721
9886	1664
9940	2436
10070	1405
10188	2028
10331	2061
10876	908
10921	1482
11148	1025
11498	943
12000	1455
12225	934
12255	1431
12394	790
12560	821
12590	1054
12778	1204
13274	1688
13278	694
13370	1704
13489	2395
13847	1963
14376	1133
14611	2646
14900	846
16148	1879
16237	1124
16271	1949
16450	1712
16558	1990
16559	2029
16997	604
17165	640
17697	650
18427	1004
18470	662
18512	1538
18819	920
18854	2736
19106	1623
19487	712
19556	1419
19581	886
19648	735
19748	1440
19833	430
19844	1146
20186	1161
20196	1442
20900	716
21216	917
21299	1260
21837	1191
21918	3500
21996	2273
22163	598
22516	1405
22550	1102
23438	831
23682	988
23739	2033
23929	3108
23946	985
24274	997
24616	1790
24625	2193
24792	598
25385	756
25386	643
25600	726
25793	546
26295	1863
26471	2743
27667	867
27753	906
27867	1806
28066	1623
28257	2752
28802	1235
28906	1425
29112	637
29171	811
29339	1509
29914	1176
30611	805
31612	1633
32218	558
32650	908
32772	589
32812	710
33295	2429
33854	1412
33870	1338
33968	868
35167	579
35233	2266
35260	662
35635	1153
35821	417
36346	1445
37352	1698
37706	3436
37997	1291
38126	2290
39763	1496
40458	1925
40876	1956
41961	822
41962	1906
42030	1384
42231	1172
43270	2107
43916	981
44113	534
44138	1235
44639	1443
44662	1148
44676	649
44775	1635
44922	440
44952	714
45196	1235
45470	1662
45522	725
45542	2031
45605	1224
45787	826
46358	1254
46562	1986
47131	631
47660	1638
48049	1823
48127	1093
48557	1387
49497	726
49616	1219
50034	1289
50764	833
50807	1753
51115	514
51364	1360
51720	1490
52185	1411
52709	1067
52819	1399
52865	791
53513	2189
53519	3247
53827	403
53860	633
53935	1932
54608	1403
55729	522
55951	3946
56834	2485
56852	1817
56895	851
57099	620
57431	842
57492	1200
57619	2084
57925	2078
58487	361
59228	1753
59421	2120
60088	814
60560	648
61085	917
61120	1570
61485	1373
61515	915
61778	833
61803	854
61901	1869
61968	923
61990	914
62311	1770
62460	1467
62524	1551
62737	2947
63190	721
63306	901
63776	541
63894	837
64098	2500
64260	977
64496	685
64725	875
64836	814
64988	998
65230	962
65664	1894
66054	2417
66147	1124
66227	524
66236	426
66524	907
66862	2377
66931	1249
67372	620
67426	696
68146	2993
69637	1419
70216	3741
70695	933
70780	633
71656	1264
73733	872
74041	1083
76814	751
77125	4326
77311	804
77410	915
77463	2500
77493	950
77860	945
78076	1650
78298	884
79017	431
79055	3504
79152	1187
79423	1025
79484	419
79611	781
79614	602
80004	1080
80322	3187
80851	2144
81060	888
81204	1415
81322	1489
81431	2036
81589	1265
81856	2331
81923	762
82419	1667
82882	1925
83229	1047
83405	755
84597	946
84839	963
85022	1527
85185	1295
85848	2283
85957	2835
85986	825
86043	1078
86084	2318
86163	714
86225	537
86275	3286
86458	986
87100	2941
87107	1970
87549	2268
87561	624
88121	1035
88790	1355
88847	2027
88928	2599
90483	1894
90709	1860
92404	1299
92974	2951
92975	729
93336	643
93973	728
94534	944
94570	481
94603	1288
94645	1074
94655	687
94921	660
95081	1534
95254	1056
95255	1651
95267	1226
95903	868
96017	517
96272	1175
96395	1708
96450	2324
97216	538
97244	795
97536	804
98778	693
99102	1736
99245	1316
99513	1117
99514	1390
99792	473
100007	1510
100734	1773
100790	847
100806	1794
101273	1516
101510	1855
101596	711
101696	1190
102069	1380
102088	1563
102196	916
102442	895
102546	2178
102693	502
102785	1034
102789	2371
102862	1910
103432	1758
103453	567
103548	979
103662	836
103673	671
103838	504
104228	1410
104262	1376
104263	1275
104427	1936
104751	580
104865	1543
105041	624
105705	736
106293	1215
108660	1372
109582	424
110016	2063
110132	795
110412	2068
111419	610
111569	728
111805	1722
112169	748
112358	1003
112677	1217
112918	607
112947	3069
112948	440
113292	926
113618	1037
114312	1289
114317	1774
114333	950
114356	1698
114980	754
115014	658
115147	1991
115533	623
115624	445
115690	1233
115723	898
115724	1150
115829	1340
116338	442
117190	437
117267	1675
117358	2136
117894	1263
118702	698
118759	955
118824	384
118921	1863
120091	626
120346	675
120861	1317
122138	1539
122311	920
122379	1085
122701	772
122856	1041
122966	798
122969	939
122982	694
123264	1872
123271	1145
123662	1786
123715	779
123748	1370
124757	1004
125660	1515
125935	1926
126527	839
126625	973
126637	2001
126671	1062
126950	681
127234	1569
127346	1429
127348	814
127361	1294
127466	1423
127507	1276
127853	1792
127890	1787
128682	821
129617	2115
129966	1209
130072	779
130133	1680
130507	1482
130971	471
131092	1201
131176	1407
131443	1385
132604	1294
132650	1378
132862	1998
133154	2135
133379	1079
133463	468
133503	2260
133546	604
133559	1255
133737	939
133742	2331
133861	1128
133863	1267
133868	2176
134389	2715
134468	884
134698	808
134859	1130
134922	1270
134981	527
135043	760
135200	1446
135303	650
135343	2844
135677	3169
135715	1593
135778	1810
135779	1465
135949	1974
136007	1113
136061	1124
136151	2205
136281	755
136398	587
136923	2434
137260	1188
137294	2327
137369	2082
137389	1889
137490	466
137629	1245
137771	914
137782	451
137899	1826
137905	736
137999	529
138029	1031
138063	736
138294	923
138307	1063
138323	971
138324	1013
138454	1372
138575	1400
138586	701
138660	687
138889	2347
139152	4347
139358	836
139372	1362
139490	413
139941	950
139999	1288
140178	1066
140509	2847
140569	762
140698	1299
141248	866
141278	2094
141692	1877
142913	1187
143146	2503
143218	407
143228	5475
143979	1149
144120	1426
144227	396
144294	1677
144590	1429
144761	1081
144942	1010
145159	1190
145252	2644
145277	960
145328	1088
145358	1298
145673	976
145949	870
146025	1494
146368	1457
146392	933
146560	3119
147174	2135
147606	1215
147903	2378
148306	1273
148308	1941
148353	817
148704	1637
149061	642
149285	1301
149612	543
149685	1355
149749	757
149995	704
150035	1184
150202	1258
150679	2794
150718	873
150836	2371
150991	645
151152	660
151164	747
151173	1601
151174	1345
151206	421
151513	538
151618	2775
151863	491
151922	2412
152003	3860
152027	891
152143	1982
152907	547
152963	977
152995	1194
153011	1303
153077	471
153083	1585
153120	1356
153258	1357
153348	1832
153369	1415
153458	1545
153678	1320
153849	801
153963	841
154359	1570
154566	1780
154594	489
154682	1345
154879	1297
155594	2655
155791	1630
155875	1079
155947	864
156440	1815
156540	453
156549	1508
156585	341
156839	886
156882	585
157160	1439
157481	977
157547	889
157618	812
157657	1710
157799	900
158047	1301
158201	3392
158257	900
158478	831
160077	3093
160212	1962
160391	762
161053	1855
161447	1025
161453	1393
161458	1455
161459	441
161663	425
161769	1712
161875	2482
162253	2958
162331	526
162450	834
162858	977
163250	1645
163421	756
163540	2224
164951	3057
165033	895
165878	877
166012	954
166182	590
166510	1775
166620	489
166667	2005
166697	2205
166891	1748
167228	1374
167487	3096
167644	1647
168305	1413
168838	2119
169169	485
169811	1972
169901	1833
170121	3867
170122	1822
170644	2535
170790	1175
171166	1950
171621	1840
172093	1256
172406	642
172562	539
172861	2870
173799	654
173843	1141
174432	505
174619	1219
174639	552
174741	915
175065	1471
175102	650
175384	1108
175559	709
175906	897
175935	2292
176101	733
176234	1899
176274	309
176280	1052
176346	655
176571	1341
176646	892
176874	1012
177047	704
177048	906
177431	521
177658	831
177662	807
177704	898
177779	1857
178121	397
178202	1608
178292	511
178333	1126
178334	716
178345	1448
178458	940
178694	840
179068	1678
179084	525
179086	681
179088	1636
179583	935
179640	1288
179654	780
180068	1700
180101	3903
180579	1080
181092	1472
181129	2140
182038	1048
182509	1933
182778	1274
183790	642
184000	949
184246	1268
184469	2093
184771	920
184846	2313
185041	1006
185074	930
185158	1349
185236	792
185298	1023
185303	1935
185715	1191
185731	969
185753	1562
186215	997
186274	632
186280	6705
186541	999
186578	838
187339	998
187354	1175
187590	964
187802	861
187923	984
187960	1335
187961	1372
188002	1750
188117	1300
188282	1984
189120	2569
189121	962
189762	736
189991	1178
190427	545
190448	2061
190709	635
190839	1752
191059	558
191262	1743
191380	697
191701	847
192949	693
193283	962
193379	404
193549	691
193663	846
193883	2481
193987	327
194004	2824
194062	454
194089	1090
194150	1181
194182	2206
194387	976
194520	640
194523	867
194689	1575
194697	662
194834	1236
194913	1702
194930	1424
195005	854
195195	1541
195422	1472
195433	418
195539	1662
195595	1520
195653	459
195764	525
195825	1685
195876	965
195887	679
195961	745
195973	787
196164	1157
196240	1435
196365	1601
196446	1801
196514	1251
196611	1106
196782	537
196824	953
196898	1452
197250	1014
197322	931
197411	1559
197471	818
197582	1919
197781	489
198007	699
198448	1223
198533	1103
198589	1272
198639	625
199096	1853
199099	1511
199364	1475
200308	1649
200364	1246
200378	1768
200789	2201
201265	1650
201322	630
201669	577
201978	748
203171	684
203430	1764
203645	1016
203664	947
203694	862
203737	860
203812	551
204430	882
204526	511
204566	1380
205243	1415
205801	981
205818	1951
205850	999
206593	1296
207505	3717
207604	618
208501	2013
208516	1535
208790	1773
209049	1491
209053	538
209162	1212
209398	522
209662	412
210890	1185
212166	1487
212491	984
213312	968
213406	1820
213624	665
213636	460
213708	1806
213725	529
213728	817
213750	901
213805	1036
213978	946
213987	1164
214135	1425
214193	920
214602	695
214659	931
214891	823
214998	1401
215104	832
215161	2279
215162	1740
215235	1400
215322	1142
215489	1026
215557	545
215802	1870
216164	1068
216306	899
216378	1110
216427	524
216432	430
216644	880
216764	1730
217291	1074
217446	640
217571	1164
217628	2973
217642	583
217695	1701
217715	876
217721	1954
218294	2373
218347	657
218442	2560
218832	2241
218928	2419
219084	855
219117	659
219151	1355
219201	789
219202	513
219411	1231
219445	990
219875	1288
219884	3169
220191	519
220203	603
220356	1215
220437	851
220465	778
220581	625
220593	1202
220880	2338
220929	809
220936	1844
220964	706
221055	897
221089	1017
221601	579
223145	1825
224149	501
224160	663
224260	2898
224397	1876
224609	818
224739	1180
224822	1247
225031	1541
225110	2599
225387	2345
226660	870
227205	655
227374	1440
228114	1012
228274	1386
228443	1227
228956	870
229010	3108
229328	1951
230047	915
231040	784
231045	430
231171	1852
232217	822
232494	2652
232835	815
233380	759
234086	1296
234210	2466
234792	513
235623	1062
236023	367
236113	796
236576	2556
236770	1866
237012	1679
237804	602
237927	1110
238130	943
238188	795
238364	1293
238454	649
238494	489
238816	1686
238950	2521
241422	497
241780	921
241899	372
242620	1128
242836	1159
242971	3084
243265	804
243569	1264
243613	965
243678	2026
243816	772
243948	1382
244170	1223
244185	1654
244210	2072
244225	919
244540	938
245109	913
245366	918
245605	944
245606	768
245623	464
245625	1090
245780	1276
246233	1328
246324	935
246813	478
246880	946
247050	1308
247075	395
247122	871
247231	2080
247929	876
248082	938
248157	2157
248234	853
248392	806
248569	892
248716	778
249471	426
249783	923
249828	601
250423	935
250635	970
250674	797
250680	621
250694	1264
251143	764
251194	1010
251392	1467
251661	1210
252057	4610
252071	1955
252112	1415
252267	1985
252300	798
252301	583
252378	514
252782	2345
252912	713
253563	1285
253699	582
253826	3300
254211	886
254245	2557
255196	1187
255200	1059
255475	645
255550	1379
255567	759
255819	1394
255915	1034
256064	584
256159	780
256432	1311
256745	1332
256988	883
257003	807
257029	906
257110	1205
257294	3216
257584	1262
257715	2207
257895	1058
258857	1412
258898	1297
258914	1312
259244	1809
259525	1239
260181	882
260208	821
260229	1100
260556	693
260557	944
260596	897
260747	1165
260885	1736
260911	896
260964	487
261121	937
261225	980
261252	631
261301	989
261367	995
261383	933
261923	1311
262065	847
262155	890
262365	984
262530	1348
262990	1131
263014	1328
263020	1506
263598	931
263688	1629
263710	1176
263775	1584
263903	872
264081	1497
264412	964
264487	857
264574	1128
264888	757
265029	981
265172	569
265246	932
265360	676
265582	1718
265831	1996
266527	1117
266560	1128
266648	1454
266678	2922
266803	1251
267121	907
267438	1566
268202	1116
268488	1083
269949	802
270831	1018
271390	473
271666	874
271706	1615
271889	1566
271998	1126
272398	2674
272462	1676
273153	708
273374	983
273500	921
273530	1310
273569	898
273591	1056
273931	1093
274000	1190
274269	720
274745	1489
276024	1792
276030	1119
276121	1186
276229	1314
276256	844
276296	996
276305	1077
276352	719
276450	1270
276910	2301
277429	1060
277430	1031
277439	1542
277470	1758
277813	1006
278054	1510
278101	1524
278208	699
278399	1307
278967	1317
279551	782
279687	3414
279807	528
279852	1074
279854	896
279857	903
279932	1017
279948	608
279952	880
280361	511
280688	714
280789	1019
280850	849
280889	875
280943	938
280963	944
281121	930
281213	1013
281227	1047
281245	369
281259	1584
281264	823
281299	2196
281350	1076
281596	1065
281960	2193
282238	1107
282245	872
282653	738
282931	459
283301	588
283936	1016
284233	1887
284483	791
284484	1962
284667	3598
284705	510
284707	2471
284829	4121
285009	1248
285759	1119
286700	1597
286848	1104
287855	855
287866	771
287992	871
288032	562
288281	544
288331	793
288339	1772
288370	966
288674	2944
288679	911
289278	2850
289306	1073
290797	761
290842	7084
291121	6048
291257	2141
291464	376
292345	1792
292389	1828
292719	1892
292749	1484
293001	335
294150	901
294234	1357
294271	2035
294442	950
294468	923
294887	1951
296209	936
296315	913
296500	809
296844	1102
297355	744
298193	1429
298217	898
298236	563
298615	819
298649	1846
298872	1057
299373	1225
299533	475
300726	842
300774	447
301385	2064
301669	1321
301830	835
301833	1486
301901	1331
302216	905
302706	963
302786	860
303989	437
304404	1172
304660	386
304674	1640
304980	1997
305268	733
305371	1045
305376	927
305496	1118
305497	946
307150	747
307183	416
307567	1358
307866	913
308033	1347
308649	582
308875	1110
308945	1285
308987	1044
309031	1147
309158	381
309291	387
309396	878
309635	2857
309723	653
309881	1654
310254	878
310379	1065
310703	1263
310713	1164
310718	950
310773	1606
310900	557
310925	1389
311030	2073
311188	925
311292	665
311429	1226
311895	2236
311945	1793
311971	1883
312038	918
312838	2247
313231	925
313632	755
313948	2265
314144	1145
314430	523
314498	786
314521	627
314664	936
314972	1463
315237	830
315455	658
317515	1459
318800	1168
318893	1083
319572	1320
319957	725
320561	1152
320597	1204
321219	524
321240	811
321381	558
321514	532
321668	767
321708	1094
321877	1003
322851	423
323078	777
323128	1620
323374	2104
323645	1514
323798	2260
324200	1563
324231	457
324418	1772
324918	1565
325238	793
326207	1042
326661	896
326705	2030
327044	1344
327454	1773
327826	1027
328229	720
328915	914
328916	842
330279	1302
330946	1024
331378	2615
331726	1253
332060	2115
332201	572
332706	743
332874	891
332911	724
332950	767
333015	1605
333050	1170
334242	1223
334612	1794
335160	1632
335264	893
335412	1307
335613	780
335729	978
335741	639
335926	605
336040	1652
336125	2093
336690	954
337150	1282
337206	705
337275	1289
337364	885
337733	1439
337766	2247
337785	1878
338432	1712
338433	1747
338621	996
338860	1654
338926	1952
340993	1899
341548	1269
341724	1954
341817	725
343002	884
343277	859
343378	780
345308	2160
345532	2190
345607	2295
345685	1738
346059	1636
346103	1282
346307	1556
346659	2798
346791	914
347655	1646
347683	411
349030	1695
349074	2756
349427	1218
349781	2007
352148	3944
352299	2070
353024	1931
353807	2132
354003	1203
354125	1256
354576	1403
355193	426
355691	707
355737	1688
355793	1202
356230	3010
356870	797
357309	760
357360	564
357534	1966
357819	446
357881	741
358084	728
358173	586
358603	997
358862	2071
359028	949
359244	734
359258	527
359353	920
359391	1736
359590	2010
359876	849
360543	1537
360766	1412
360781	844
360911	791
360989	732
361053	1335
361055	865
361099	811
361196	1105
361212	1003
361275	1487
361276	2300
361321	956
361323	2217
361341	660
361641	1087
361678	836
361942	632
362073	1101
362155	2309
362527	580
362666	1798
362703	2355
362834	523
363033	459
363060	867
363088	1312
363186	2555
363191	571
364063	1380
364079	2364
364097	991
364175	1575
364526	3279
366639	1854
366706	841
366709	700
367136	933
367352	1070
367406	752
367546	1549
367563	1047
367609	1167
367612	575
368105	1086
368135	1235
368187	2134
368737	936
368936	2700
368952	1991
369023	1218
369302	895
369367	829
369452	610
369568	1537
370308	3050
371135	1620
371175	1327
371609	1214
371618	695
371865	793
371895	731
372116	549
372204	742
372445	2469
372933	1603
372946	1062
372979	1146
373113	832
373146	780
373176	925
373220	1693
373335	1142
373494	750
373756	1031
374010	1246
374664	2505
374682	1115
374930	2973
374960	2301
375318	2691
375351	1339
375474	1003
375591	1593
376024	1900
376152	2005
376153	1561
376228	3123
376480	1316
376530	1410
376586	1011
377165	948
377291	2232
377360	953
377473	674
377652	935
377770	674
377842	883
377884	874
377987	2393
378389	1511
379330	1528
379612	1176
380203	2143
380352	983
380880	1005
381444	2512
381728	1065
382020	966
382277	1568
382732	375
383247	1007
383488	1303
385194	2612
385590	1634
385634	1171
385798	1534
385847	653
386311	661
386408	1830
386409	4415
386697	1626
387942	1655
389071	1595
389169	1922
389345	555
389357	2819
389566	2060
389633	842
389825	1975
390256	797
390705	1894
390770	1452
391421	769
392321	1286
392372	1770
392441	1076
392559	1632
392802	1632
394530	1424
395831	759
395879	741
395886	1368
397171	2435
397685	1704
398256	1101
399298	854
399343	568
399877	605
400971	1674
401814	1294
403079	1094
403166	443
403605	1666
404584	1127
404827	670
404957	1125
405202	1235
405208	3512
405839	1490
405863	2371
405971	590
406771	1303
406830	1564
408237	647
409207	952
409208	1101
410678	2734
413229	1576
413324	625
413388	1429
413804	781
413931	1479
414661	1501
415541	1415
417196	1235
417587	1377
418220	815
418977	894
419023	1486
419323	826
419399	967
419426	844
419693	1419
419981	3248
420281	1255
423332	560
423453	725
423608	1719
423694	980
423772	949
423886	1065
424288	658
424364	889
425912	655
425913	1075
426854	1320
427268	865
427802	1254
428533	725
429319	719
429430	1072
429432	768
429684	352
429786	390
429798	987
429951	749
430188	1252
430565	547
430654	1355
430735	882
431047	750
431263	1656
431684	1031
