gene_id	gene_length	counts
292	1065	5
364	476	0
496	1852	43
597	1438	0
670	1251	3861
710	1027	1
794	984	394
918	1492	197
1310	1415	544
1653	1289	49
1803	1466	4926
1953	494	706
2398	465	0
3196	2153	180
3417	2003	23
3620	549	44
3669	1789	386
4628	1080	28
4682	897	8
5181	729	117
5183	1956	345
5207	1058	0
5543	1363	1170
6181	1331	153
6459	967	571
6608	1308	2
6739	1251	22
6904	673	2
7082	751	0
7421	1564	54
8120	405	0
8984	586	506
9549	1721	11
9886	1664	150
9940	2436	8713
10070	1405	774
10188	2028	647
10331	2061	380
10876	908	52
10921	1482	231
11148	1025	905
11498	943	7
12000	1455	180
12225	934	153
12255	1431	76
12394	790	142
12560	821	9
12590	1054	75
12778	1204	202
13274	1688	6154
13278	694	23
13370	1704	7459
13489	2395	1160
13847	1963	2479
14376	1133	3214
14611	2646	2021
14900	846	0
16148	1879	149
16237	1124	3566
16271	1949	0
16450	1712	1074
16558	1990	170
16559	2029	9208
16997	604	38
17165	640	1049
17697	650	0
18427	1004	270
18470	662	136
18512	1538	798
18819	920	130
18854	2736	3397
19106	1623	267
19487	712	76
19556	1419	24
19581	886	70
19648	735	94
19748	1440	8638
19833	430	4
19844	1146	383
20186	1161	2343
20196	1442	0
20900	716	942
21216	917	255
21299	1260	814
21837	1191	453
21918	3500	18559
21996	2273	944
22163	598	2
22516	1405	51
22550	1102	23
23438	831	10
23682	988	234
23739	2033	27
23929	3108	2286
23946	985	771
24274	997	57
24616	1790	1343
24625	2193	992
24792	598	0
25385	756	1
25386	643	24
25600	726	4
25793	546	0
26295	1863	1278
26471	2743	4774
27667	867	118
27753	906	45
27867	1806	413
28066	1623	3580
28257	2752	2975
28802	1235	65
28906	1425	646
29112	637	310
29171	811	496
29339	1509	1350
29914	1176	165
30611	805	148
31612	1633	212
32218	558	0
32650	908	9
32772	589	8
32812	710	3295
33295	2429	3619
33854	1412	12967
33870	1338	613
33968	868	329
35167	579	16
35233	2266	14488
35260	662	685
35635	1153	2931
35821	417	0
36346	1445	1012
37352	1698	378
37706	3436	759
37997	1291	87
38126	2290	9725
39763	1496	1324
40458	1925	229
40876	1956	2494
41961	822	115
41962	1906	408
42030	1384	403
42231	1172	20
43270	2107	905
43916	981	13
44113	534	11
44138	1235	1169
44639	1443	2777
44662	1148	166
44676	649	2093
44775	1635	346
44922	440	0
44952	714	391
45196	1235	1497
45470	1662	4084
45522	725	0
45542	2031	5485
45605	1224	195
45787	826	9
46358	1254	2282
46562	1986	8417
47131	631	361
47660	1638	167
48049	1823	848
48127	1093	498
48557	1387	2553
49497	726	1272
49616	1219	1443
50034	1289	696
50764	833	631
50807	1753	61
51115	514	1
51364	1360	744
51720	1490	11887
52185	1411	4871
52709	1067	266
52819	1399	508
52865	791	78
53513	2189	137
53519	3247	1695
53827	403	15
53860	633	120
53935	1932	1563
54608	1403	566
55729	522	0
55951	3946	5393
56834	2485	69
56852	1817	4012
56895	851	33140
57099	620	1221
57431	842	1
57492	1200	165
57619	2084	193
57925	2078	7178
58487	361	16
59228	1753	9541
59421	2120	184
60088	814	14383
60560	648	130
61085	917	183
61120	1570	252
61485	1373	28
61515	915	0
61778	833	0
61803	854	25
61901	1869	885
61968	923	1121
61990	914	0
62311	1770	172
62460	1467	423
62524	1551	9458
62737	2947	5788
63190	721	10
63306	901	6089
63776	541	5623
63894	837	271
64098	2500	2494
64260	977	54
64496	685	0
64725	875	2304
64836	814	12775
64988	998	6
65230	962	945
65664	1894	63112
66054	2417	4493
66147	1124	80
66227	524	66
66236	426	972
66524	907	318
66862	2377	1761
66931	1249	209
67372	620	350
67426	696	5
68146	2993	245
69637	1419	630
70216	3741	1505
70695	933	24
70780	633	2117
71656	1264	1415
73733	872	161
74041	1083	38
76814	751	148
77125	4326	2842
77311	804	1538
77410	915	40
77463	2500	5046
77493	950	33
77860	945	2071
78076	1650	21874
78298	884	37
79017	431	1387
79055	3504	5620
79152	1187	15855
79423	1025	785
79484	419	0
79611	781	19
79614	602	3
80004	1080	639
80322	3187	187
80851	2144	916
81060	888	854
81204	1415	360
81322	1489	505
81431	2036	199
81589	1265	9059
81856	2331	607
81923	762	316
82419	1667	2799
82882	1925	2828
83229	1047	27
83405	755	284
84597	946	21
84839	963	3076
85022	1527	72
85185	1295	21802
85848	2283	1491
85957	2835	2730
85986	825	984
86043	1078	370
86084	2318	320
86163	714	118
86225	537	48
86275	3286	1255
86458	986	1638
87100	2941	1915
87107	1970	2574
87549	2268	302
87561	624	72
88121	1035	1002
88790	1355	1528
88847	2027	13553
88928	2599	1921
90483	1894	1569
90709	1860	64
92404	1299	1007
92974	2951	775
92975	729	0
93336	643	63
93973	728	55
94534	944	8
94570	481	5
94603	1288	11
94645	1074	0
94655	687	1
94921	660	93
95081	1534	51
95254	1056	0
95255	1651	0
95267	1226	23
95903	868	129
96017	517	5
96272	1175	196
96395	1708	1519
96450	2324	51
97216	538	51
97244	795	2
97536	804	392
98778	693	173
99102	1736	8821
99245	1316	161
99513	1117	259
99514	1390	1379
99792	473	27
100007	1510	135
100734	1773	2370
100790	847	162
100806	1794	137
101273	1516	1273
101510	1855	1943
101596	711	44
101696	1190	8958
102069	1380	454
102088	1563	5848
102196	916	26
102442	895	123
102546	2178	56
102693	502	21
102785	1034	23
102789	2371	3703
102862	1910	3235
103432	1758	0
103453	567	0
103548	979	7176
103662	836	6
103673	671	2364
103838	504	0
104228	1410	12763
104262	1376	3359
104263	1275	4746
104427	1936	0
104751	580	5
104865	1543	204
105041	624	2
105705	736	0
106293	1215	88
108660	1372	386
109582	424	241
110016	2063	147
110132	795	28
110412	2068	395
111419	610	1010
111569	728	58
111805	1722	999
112169	748	133
112358	1003	385
112677	1217	582
112918	607	736
112947	3069	2070
112948	440	209
113292	926	0
113618	1037	827
114312	1289	80
114317	1774	537
114333	950	0
114356	1698	7685
114980	754	28
115014	658	0
115147	1991	3558
115533	623	8
115624	445	0
115690	1233	267
115723	898	9
115724	1150	72
115829	1340	259
116338	442	6
117190	437	6
117267	1675	128
117358	2136	278
117894	1263	247
118702	698	3
118759	955	5
118824	384	0
118921	1863	7
120091	626	724
120346	675	119
120861	1317	712
122138	1539	749
122311	920	124
122379	1085	17
122701	772	91
122856	1041	139
122966	798	165
122969	939	170
122982	694	47
123264	1872	3
123271	1145	1497
123662	1786	0
123715	779	0
123748	1370	0
124757	1004	4
125660	1515	0
125935	1926	39160
126527	839	4
126625	973	83
126637	2001	6737
126671	1062	171
126950	681	18
127234	1569	394
127346	1429	194
127348	814	0
127361	1294	0
127466	1423	326
127507	1276	115
127853	1792	106
127890	1787	137
128682	821	547
129617	2115	3153
129966	1209	46
130072	779	35
130133	1680	107
130507	1482	1260
130971	471	0
131092	1201	968
131176	1407	2322
131443	1385	179
132604	1294	171
132650	1378	338
132862	1998	3924
133154	2135	96
133379	1079	113
133463	468	50
133503	2260	170
133546	604	2465
133559	1255	22
133737	939	1005
133742	2331	1226
133861	1128	1949
133863	1267	15
133868	2176	54
134389	2715	318
134468	884	221
134698	808	0
134859	1130	1803
134922	1270	745
134981	527	294
135043	760	30
135200	1446	4
135303	650	30
135343	2844	867
135677	3169	3110
135715	1593	529
135778	1810	312
135779	1465	238
135949	1974	337
136007	1113	1
136061	1124	3159
136151	2205	298
136281	755	28
136398	587	8
136923	2434	354
137260	1188	180
137294	2327	1296
137369	2082	4506
137389	1889	1241
137490	466	0
137629	1245	0
137771	914	220
137782	451	15
137899	1826	61
137905	736	116
137999	529	126
138029	1031	691
138063	736	0
138294	923	0
138307	1063	93
138323	971	939
138324	1013	565
138454	1372	96
138575	1400	23812
138586	701	4737
138660	687	16
138889	2347	225
139152	4347	8128
139358	836	104
139372	1362	224
139490	413	478
139941	950	7
139999	1288	70
140178	1066	277
140509	2847	7080
140569	762	19
140698	1299	836
141248	866	33
141278	2094	645
141692	1877	3954
142913	1187	1052
143146	2503	3756
143218	407	0
143228	5475	6592
143979	1149	156
144120	1426	168
144227	396	0
144294	1677	228
144590	1429	10
144761	1081	0
144942	1010	39
145159	1190	27
145252	2644	2682
145277	960	71
145328	1088	4
145358	1298	28
145673	976	4
145949	870	45
146025	1494	262
146368	1457	69
146392	933	194
146560	3119	514
147174	2135	2372
147606	1215	64
147903	2378	6123
148306	1273	2516
148308	1941	69
148353	817	19050
148704	1637	10
149061	642	308
149285	1301	7
149612	543	115
149685	1355	191
149749	757	274
149995	704	0
150035	1184	0
150202	1258	494
150679	2794	2063
150718	873	650
150836	2371	3225
150991	645	68
151152	660	33
151164	747	19
151173	1601	168
151174	1345	20
151206	421	0
151513	538	46
151618	2775	731
151863	491	460
151922	2412	1496
152003	3860	1099
152027	891	0
152143	1982	139
152907	547	0
152963	977	0
152995	1194	2
153011	1303	0
153077	471	0
153083	1585	188
153120	1356	161
153258	1357	588
153348	1832	633
153369	1415	634
153458	1545	156
153678	1320	115
153849	801	356
153963	841	27
154359	1570	1188
154566	1780	0
154594	489	0
154682	1345	95
154879	1297	70
155594	2655	887
155791	1630	23
155875	1079	113
155947	864	66
156440	1815	1074
156540	453	0
156549	1508	673
156585	341	0
156839	886	13
156882	585	39074
157160	1439	158
157481	977	50
157547	889	2
