gene_id	gene_length	counts
292	1065	2
364	476	0
496	1852	16
597	1438	0
670	1251	4177
710	1027	0
794	984	276
918	1492	238
1310	1415	339
1653	1289	13
1803	1466	4518
1953	494	983
2398	465	4
3196	2153	195
3417	2003	5
3620	549	105
3669	1789	509
4628	1080	37
4682	897	9
5181	729	78
5183	1956	370
5207	1058	0
5543	1363	1364
6181	1331	199
6459	967	710
6608	1308	7
6739	1251	7
6904	673	6
7082	751	0
7421	1564	34
8120	405	0
8984	586	584
9549	1721	18
9886	1664	129
9940	2436	12666
10070	1405	652
10188	2028	582
10331	2061	494
10876	908	49
10921	1482	363
11148	1025	694
11498	943	14
12000	1455	247
12225	934	122
12255	1431	88
12394	790	134
12560	821	17
12590	1054	90
12778	1204	206
13274	1688	5623
13278	694	16
13370	1704	10550
13489	2395	1660
13847	1963	2092
14376	1133	5531
14611	2646	2400
14900	846	0
16148	1879	250
16237	1124	129
16271	1949	0
16450	1712	901
16558	1990	74
16559	2029	10189
16997	604	37
17165	640	1639
17697	650	14
18427	1004	264
18470	662	197
18512	1538	697
18819	920	347
18854	2736	5090
19106	1623	262
19487	712	96
19556	1419	12
19581	886	110
19648	735	154
19748	1440	7031
19833	430	1
19844	1146	367
20186	1161	1783
20196	1442	0
20900	716	970
21216	917	274
21299	1260	797
21837	1191	636
21918	3500	11590
21996	2273	928
22163	598	7
22516	1405	97
22550	1102	39
23438	831	1
23682	988	486
23739	2033	71
23929	3108	2343
23946	985	806
24274	997	75
24616	1790	2382
24625	2193	874
24792	598	4
25385	756	8
25386	643	17
25600	726	1
25793	546	2
26295	1863	1479
26471	2743	5192
27667	867	96
27753	906	26
27867	1806	311
28066	1623	5420
28257	2752	2917
28802	1235	103
28906	1425	385
29112	637	273
29171	811	487
29339	1509	1276
29914	1176	333
30611	805	216
31612	1633	189
32218	558	0
32650	908	26
32772	589	2
32812	710	3989
33295	2429	3494
33854	1412	18553
33870	1338	875
33968	868	307
35167	579	12
35233	2266	16673
35260	662	909
35635	1153	4769
35821	417	0
36346	1445	2381
37352	1698	462
37706	3436	378
37997	1291	103
38126	2290	12316
39763	1496	2265
40458	1925	354
40876	1956	4009
41961	822	276
41962	1906	611
42030	1384	755
42231	1172	33
43270	2107	410
43916	981	18
44113	534	27
44138	1235	1111
44639	1443	4272
44662	1148	142
44676	649	2026
44775	1635	388
44922	440	2
44952	714	431
45196	1235	1347
45470	1662	5647
45522	725	3
45542	2031	5586
45605	1224	230
45787	826	7
46358	1254	2525
46562	1986	10392
47131	631	319
47660	1638	126
48049	1823	796
48127	1093	303
48557	1387	8365
49497	726	1629
49616	1219	1783
50034	1289	1068
50764	833	994
50807	1753	57
51115	514	12
51364	1360	1249
51720	1490	20236
52185	1411	3555
52709	1067	276
52819	1399	778
52865	791	63
53513	2189	219
