gene_id	gene_length	counts
292	1065	24
364	476	0
496	1852	0
597	1438	0
670	1251	3942
710	1027	3
794	984	544
918	1492	193
1310	1415	285
1653	1289	15
1803	1466	5044
1953	494	866
2398	465	0
3196	2153	158
3417	2003	23
3620	549	87
3669	1789	452
4628	1080	5
4682	897	4
5181	729	106
5183	1956	375
5207	1058	0
5543	1363	1478
6181	1331	229
6459	967	655
6608	1308	1
6739	1251	1
6904	673	9
7082	751	0
7421	1564	50
8120	405	0
8984	586	543
9549	1721	29
9886	1664	217
9940	2436	10667
10070	1405	542
10188	2028	727
10331	2061	419
10876	908	42
10921	1482	284
11148	1025	1133
11498	943	22
12000	1455	212
12225	934	107
12255	1431	100
12394	790	150
12560	821	13
12590	1054	69
12778	1204	195
13274	1688	7030
13278	694	26
13370	1704	9121
13489	2395	1266
13847	1963	2353
14376	1133	3326
14611	2646	2068
14900	846	0
16148	1879	148
16237	1124	5148
16271	1949	2
16450	1712	833
16558	1990	137
16559	2029	9713
16997	604	5
17165	640	1052
17697	650	8
18427	1004	324
18470	662	226
18512	1538	646
18819	920	254
18854	2736	4939
19106	1623	347
19487	712	88
19556	1419	25
19581	886	99
19648	735	95
19748	1440	8926
19833	430	6
19844	1146	468
20186	1161	2632
20196	1442	0
20900	716	948
21216	917	308
21299	1260	887
21837	1191	611
21918	3500	22541
21996	2273	1185
22163	598	0
22516	1405	104
22550	1102	20
23438	831	16
23682	988	216
23739	2033	67
23929	3108	2463
23946	985	729
24274	997	117
24616	1790	1593
24625	2193	1101
24792	598	0
25385	756	2
25386	643	49
25600	726	22
25793	546	0
26295	1863	1312
26471	2743	5331
27667	867	52
27753	906	27
27867	1806	395
28066	1623	3742
28257	2752	3684
28802	1235	104
28906	1425	461
29112	637	240
29171	811	545
29339	1509	1248
29914	1176	196
30611	805	205
31612	1633	310
32218	558	0
32650	908	23
32772	589	0
32812	710	3589
33295	2429	3896
33854	1412	14444
33870	1338	903
33968	868	483
35167	579	20
35233	2266	14616
35260	662	744
35635	1153	4280
35821	417	2
36346	1445	1550
37352	1698	423
37706	3436	678
37997	1291	74
38126	2290	10271
39763	1496	1537
40458	1925	361
40876	1956	2807
41961	822	155
41962	1906	597
42030	1384	436
42231	1172	50
43270	2107	799
43916	981	8
44113	534	5
44138	1235	1366
44639	1443	2564
44662	1148	162
44676	649	1834
44775	1635	381
44922	440	0
44952	714	373
45196	1235	1760
45470	1662	5087
45522	725	0
45542	2031	4611
45605	1224	234
45787	826	10
